Platz,PAK,SNR,Name,Vorname,Verein,AK,Zeit,Schwimmen,Rad,Laufen,Details
310,40,390,Kirchner,Christian,GISA Runners,AK 30,02:47:27,00:40:08,01:17:38,00:43:48,Details
311,55,627,Steuer,Nicholas,Schifferstadt,AK 35,02:47:33,00:30:24,01:16:52,00:55:11,Details
312,32,329,Ahnert,Sven,DerZwenni,AK 50,02:47:39,00:28:39,01:19:48,00:54:32,Details
313,73,381,Seidl,Sven,3#irons,AK 40,02:47:46,00:30:25,01:16:10,00:53:36,Details
314,28,531,Wigger,Roman,Berlin,AK 25,02:47:48,00:36:21,01:15:03,00:51:16,Details
315,56,764,Fischer,Arne,Leipzig,AK 35,02:47:52,00:29:48,01:20:53,00:51:32,Details
316,74,658,Ottlinger,René,SG Leipzig-Bienitz,AK 40,02:47:55,00:33:10,01:20:05,00:48:58,Details
317,33,505,Otto,Torsten,Leipzig,AK 50,02:47:56,00:30:37,01:18:41,00:52:11,Details
318,57,626,Schiefer,Conrad,Markkleeberg,AK 35,02:47:56,00:31:26,01:20:13,00:49:34,Details
319,58,679,Kalmring,Florian,Otterbande,AK 35,02:48:10,00:32:49,01:21:25,00:47:51,Details
320,31,503,Reusch,Stefan,Reckendorfer Schlossbrauer,AK 55,02:48:13,00:26:12,01:14:23,01:02:21,Details
321,32,399,Kostka,Jürgen,1. SRC,AK 55,02:48:13,00:27:42,01:18:28,00:56:11,Details
322,75,684,Haupt,Eric,SV Lauterbach/Erzgebirge e. V.,AK 40,02:48:20,00:39:25,01:14:32,00:48:49,Details
323,33,486,Lemke,Thomas,Markranstädt,AK 55,02:48:31,00:28:38,01:21:12,00:51:17,Details
324,41,34,Czarnecki,Friedrich,Leipziger Triathlon e. V.,AK 30,02:48:35,00:32:31,01:19:58,00:49:09,Details
325,42,344,Kampa,Martin,Hermes Arzneimittel,AK 30,02:48:37,00:30:42,01:14:33,00:58:01,Details
326,43,605,Hölting,Philipp,Leipzig,AK 30,02:48:57,00:29:08,01:15:16,00:58:41,Details
327,59,305,Redlich,Christian,1337,AK 35,02:48:58,00:28:40,01:19:23,00:55:53,Details
328,34,115,Eichardt,Holger,LRV Weißenfels,AK 50,02:49:16,00:33:57,01:21:39,00:49:00,Details
329,60,643,Seifert,Stephan,BEFA Team,AK 35,02:49:26,00:38:13,01:13:44,00:51:24,Details
330,76,499,Diesel,Martin,BEFA Team,AK 40,02:49:26,00:34:26,01:18:01,00:51:31,Details
331,44,82,Bianucci,Tommaso,Freestyle Triathlon Valdinievole,AK 30,02:49:33,00:25:17,01:20:10,00:58:42,Details
332,45,548,Singer,Jakob,Baywatch Leipzig,AK 30,02:49:42,00:34:23,01:19:09,00:50:45,Details
333,35,740,Schermer,Ulf,SSV Hoyerswerda,AK 50,02:49:47,00:29:47,01:15:22,00:57:19,Details
334,61,750,Schneider,Martin,Team SchneiderTrio,AK 35,02:49:48,00:35:46,01:20:01,00:48:14,Details
335,34,596,Satzky,Heiko,de Heidehopper,AK 55,02:49:57,00:27:46,01:17:16,00:58:25,Details
336,35,619,Bayer,Markus,Leipzig,AK 45,02:50:00,00:34:28,01:18:28,00:51:12,Details
337,14,670,Hösel,Albrecht,Dresden,AK 20,02:50:10,00:35:08,01:17:08,00:52:07,Details
338,36,760,Thomas,Michael,Struppen,AK 45,02:50:21,00:38:58,01:18:17,00:47:00,Details
339,77,410,Block,Alexander,Berlin,AK 40,02:50:27,00:34:22,01:20:54,00:47:26,Details
340,78,138,Kubitzek,Martin,TSV Heiligenrode,AK 40,02:50:27,00:32:48,01:18:21,00:52:45,Details
341,8,137,Klingner,Jörg,Berlin-Chemie Adlershof,AK 60,02:50:29,00:34:58,01:14:38,00:54:10,Details
342,29,775,Vodde,Steffen,Tülau,AK 25,02:50:41,00:37:37,01:21:06,00:46:11,Details
